,Game_Id,Home_Score,Home_Team,Visitor_Score,Visitor_Team,Winner
0,2007020001,4,L.A,1,ANA,L.A
1,2007020002,4,ANA,1,L.A,ANA
2,2007020003,2,CAR,3,MTL,MTL
3,2007020004,3,DET,2,ANA,DET
4,2007020005,3,TOR,4,OTT,OTT
5,2007020006,4,COL,3,DAL,COL
6,2007020007,5,NYR,2,FLA,NYR
7,2007020008,3,OTT,2,TOR,OTT
8,2007020009,3,T.B,1,N.J,T.B
9,2007020010,4,NSH,0,COL,NSH
10,2007020011,1,MIN,0,CHI,MIN
11,2007020012,2,CGY,3,PHI,PHI
12,2007020013,3,EDM,2,S.J,EDM
13,2007020014,3,PHX,2,STL,PHX
14,2007020015,4,CAR,1,PIT,CAR
15,2007020016,4,CBJ,0,ANA,CBJ
16,2007020017,4,BUF,6,NYI,NYI
17,2007020018,1,ATL,3,WSH,WSH
18,2007020019,4,DAL,1,BOS,DAL
19,2007020020,1,VAN,3,S.J,S.J
20,2007020021,5,EDM,3,PHI,EDM
21,2007020022,4,TOR,3,MTL,TOR
22,2007020023,2,OTT,0,NYR,OTT
23,2007020024,3,NYI,2,BUF,NYI
24,2007020025,2,WSH,0,CAR,WSH
25,2007020026,1,FLA,4,N.J,N.J
26,2007020027,5,PIT,4,ANA,PIT
27,2007020028,5,T.B,2,ATL,T.B
28,2007020029,5,NSH,1,DAL,NSH
29,2007020030,3,MIN,2,CBJ,MIN
30,2007020031,4,CHI,3,DET,CHI
31,2007020032,3,CGY,4,VAN,VAN
32,2007020033,1,PHX,3,BOS,BOS
33,2007020034,3,L.A,5,STL,STL
34,2007020035,6,COL,2,S.J,COL
35,2007020036,1,NYI,2,WSH,WSH
36,2007020037,4,OTT,2,N.J,OTT
37,2007020038,4,DET,2,EDM,DET
38,2007020039,1,TOR,7,CAR,CAR
39,2007020040,2,NYI,1,NYR,NYI
40,2007020041,1,ATL,3,OTT,OTT
41,2007020042,3,CBJ,0,PHX,CBJ
42,2007020043,2,PIT,3,MTL,MTL
43,2007020044,2,T.B,1,FLA,T.B
44,2007020045,4,DET,2,CGY,DET
45,2007020046,2,MIN,0,EDM,MIN
46,2007020047,1,CHI,2,S.J,S.J
47,2007020048,4,STL,1,NSH,STL
48,2007020049,5,DAL,1,L.A,DAL
49,2007020050,2,VAN,8,PHI,PHI
50,2007020051,2,ANA,1,BOS,ANA
51,2007020052,6,BUF,0,ATL,BUF
52,2007020053,8,TOR,1,NYI,TOR
53,2007020054,3,OTT,5,CAR,CAR
54,2007020055,3,FLA,0,N.J,FLA
55,2007020056,3,NSH,6,PHX,PHX
56,2007020057,3,NYR,1,WSH,NYR
57,2007020058,2,DET,3,CHI,CHI
58,2007020059,4,STL,1,COL,STL
59,2007020060,2,DAL,3,CGY,CGY
60,2007020061,2,EDM,5,VAN,VAN
61,2007020062,6,L.A,8,BOS,BOS
62,2007020063,7,BUF,3,WSH,BUF
63,2007020064,4,TOR,6,PIT,PIT
64,2007020065,1,MTL,3,CAR,CAR
65,2007020066,1,NYR,3,OTT,OTT
66,2007020067,3,PHI,1,NYI,PHI
67,2007020068,5,ATL,6,N.J,N.J
68,2007020069,6,FLA,4,T.B,FLA
69,2007020070,4,NSH,7,CGY,CGY
70,2007020071,2,CHI,1,DAL,CHI
71,2007020072,5,COL,1,CBJ,COL
72,2007020073,4,VAN,1,EDM,VAN
73,2007020074,2,PHX,3,MIN,MIN
74,2007020075,1,S.J,2,BOS,BOS
75,2007020076,0,ANA,2,MIN,MIN
76,2007020077,1,L.A,4,DET,DET
77,2007020078,5,BUF,4,TOR,BUF
78,2007020079,2,VAN,4,S.J,S.J
79,2007020080,6,ANA,3,DET,ANA
80,2007020081,4,PHI,0,ATL,PHI
81,2007020082,1,MTL,2,FLA,FLA
82,2007020083,5,COL,4,CGY,COL
83,2007020084,4,L.A,3,MIN,L.A
84,2007020085,2,CBJ,3,DAL,DAL
85,2007020086,4,PIT,5,N.J,N.J
86,2007020087,1,CHI,3,STL,STL
87,2007020088,3,ANA,1,NSH,ANA
88,2007020089,4,BOS,1,T.B,BOS
89,2007020090,4,PHI,0,N.J,PHI
90,2007020091,2,WSH,5,NYI,NYI
91,2007020092,5,ATL,3,NYR,ATL
92,2007020093,3,TOR,2,FLA,TOR
93,2007020094,4,OTT,3,MTL,OTT
94,2007020095,4,CGY,3,L.A,CGY
95,2007020096,2,PHX,4,EDM,EDM
96,2007020097,2,S.J,4,DET,DET
97,2007020098,0,BUF,3,CBJ,CBJ
98,2007020099,4,PIT,3,CAR,PIT
99,2007020100,5,CHI,3,COL,CHI
100,2007020101,2,VAN,4,L.A,L.A
101,2007020102,1,BOS,0,NYR,BOS
102,2007020103,4,TOR,6,CHI,CHI
103,2007020104,4,MTL,2,BUF,MTL
104,2007020105,4,OTT,1,FLA,OTT
105,2007020106,4,NYI,3,N.J,NYI
106,2007020107,3,PHI,2,CAR,PHI
107,2007020108,1,WSH,2,PIT,PIT
108,2007020109,6,T.B,2,ATL,T.B
109,2007020110,3,DAL,1,ANA,DAL
110,2007020111,1,STL,3,MIN,MIN
111,2007020112,4,CGY,1,EDM,CGY
112,2007020113,2,PHX,5,DET,DET
113,2007020114,3,S.J,0,NSH,S.J
114,2007020115,1,CBJ,4,VAN,VAN
115,2007020116,3,MIN,2,COL,MIN
116,2007020117,3,CAR,1,VAN,CAR
117,2007020118,6,MTL,1,BOS,MTL
118,2007020119,1,CGY,4,S.J,S.J
119,2007020120,1,PIT,0,NYR,PIT
120,2007020121,4,TOR,5,ATL,ATL
121,2007020122,4,CHI,7,CBJ,CBJ
122,2007020123,4,STL,2,ANA,STL
123,2007020124,2,EDM,4,COL,COL
124,2007020125,6,L.A,0,NSH,L.A
125,2007020126,5,WSH,3,T.B,WSH
126,2007020127,6,CAR,2,BUF,CAR
127,2007020128,4,FLA,3,PHI,FLA
128,2007020129,3,DET,2,VAN,DET
129,2007020130,5,CGY,3,MIN,CGY
130,2007020131,3,BOS,1,CHI,BOS
131,2007020132,2,NYR,0,N.J,NYR
132,2007020133,3,CBJ,0,STL,CBJ
133,2007020134,2,PIT,5,TOR,TOR
134,2007020135,5,T.B,2,PHI,T.B
135,2007020136,3,NSH,0,ATL,NSH
136,2007020137,5,EDM,4,MIN,EDM
137,2007020138,0,ANA,1,PHX,PHX
138,2007020139,2,L.A,1,DAL,L.A
139,2007020140,2,WSH,3,VAN,VAN
140,2007020141,4,CAR,7,MTL,MTL
141,2007020142,2,FLA,4,BUF,BUF
142,2007020143,5,DET,1,S.J,DET
143,2007020144,2,CGY,3,COL,COL
144,2007020145,2,CBJ,1,S.J,CBJ
145,2007020146,1,BOS,2,PHI,PHI
146,2007020147,1,N.J,4,OTT,OTT
147,2007020148,3,NYI,8,CAR,CAR
148,2007020149,1,NYR,4,TOR,TOR
149,2007020150,3,PIT,4,MTL,MTL
150,2007020151,3,T.B,4,BUF,BUF
151,2007020152,4,NSH,3,FLA,NSH
152,2007020153,2,CHI,3,ATL,ATL
153,2007020154,4,STL,3,WSH,STL
154,2007020155,3,PHX,5,DAL,DAL
155,2007020156,4,L.A,1,EDM,L.A
156,2007020157,3,COL,1,MIN,COL
157,2007020158,2,ANA,3,EDM,EDM
158,2007020159,2,VAN,3,DET,DET
159,2007020160,3,NYR,1,T.B,NYR
160,2007020161,1,TOR,7,WSH,WSH
161,2007020162,2,DAL,4,S.J,S.J
162,2007020163,2,MIN,4,PIT,PIT
163,2007020164,2,MTL,3,ATL,ATL
164,2007020165,1,STL,2,PHX,PHX
165,2007020166,5,CGY,1,NSH,CGY
166,2007020167,1,EDM,2,DET,DET
167,2007020168,6,N.J,1,T.B,N.J
168,2007020169,4,FLA,2,CAR,FLA
169,2007020170,4,DAL,5,CHI,CHI
170,2007020171,1,L.A,4,CBJ,CBJ
171,2007020172,4,BOS,3,BUF,BOS
172,2007020173,4,NYI,0,T.B,NYI
173,2007020174,2,NYR,0,WSH,NYR
174,2007020175,5,MTL,2,PHI,MTL
175,2007020176,6,OTT,4,ATL,OTT
176,2007020177,2,MIN,3,STL,STL
177,2007020178,3,COL,2,PIT,COL
178,2007020179,1,CGY,4,DET,DET
179,2007020180,0,VAN,3,NSH,NSH
180,2007020181,2,ANA,1,CBJ,ANA
181,2007020182,3,N.J,2,TOR,N.J
182,2007020183,2,WSH,3,PHI,PHI
183,2007020184,2,BUF,4,FLA,FLA
184,2007020185,0,DAL,5,PHX,PHX
185,2007020186,1,EDM,4,NSH,NSH
186,2007020187,2,S.J,5,L.A,L.A
187,2007020188,2,MTL,3,TOR,TOR
188,2007020189,3,OTT,2,BOS,OTT
189,2007020190,3,NYI,2,PIT,NYI
190,2007020191,2,NYR,1,N.J,NYR
191,2007020192,4,CAR,2,FLA,CAR
192,2007020193,4,T.B,6,ATL,ATL
193,2007020194,4,MIN,1,CGY,MIN
194,2007020195,2,STL,3,CHI,CHI
195,2007020196,2,PHX,5,ANA,ANA
196,2007020197,3,COL,4,VAN,VAN
197,2007020198,1,L.A,3,S.J,S.J
198,2007020199,3,CBJ,0,STL,CBJ
199,2007020200,1,BOS,2,OTT,OTT
200,2007020201,2,CHI,5,NSH,NSH
201,2007020202,0,N.J,5,PIT,PIT
202,2007020203,2,NYR,0,PHI,NYR
203,2007020204,5,CAR,0,WSH,CAR
204,2007020205,2,MTL,0,BUF,MTL
205,2007020206,4,FLA,3,T.B,FLA
206,2007020207,5,MIN,2,EDM,MIN
207,2007020208,4,COL,1,CGY,COL
208,2007020209,0,ANA,5,DAL,DAL
209,2007020210,3,NYI,2,NYR,NYI
210,2007020211,2,ATL,1,WSH,ATL
211,2007020212,5,OTT,1,TOR,OTT
212,2007020213,2,BUF,1,BOS,BUF
213,2007020214,1,PIT,3,PHI,PHI
214,2007020215,3,T.B,1,FLA,T.B
215,2007020216,3,DET,2,NSH,DET
216,2007020217,5,CHI,2,CBJ,CHI
217,2007020218,4,COL,3,EDM,COL
218,2007020219,5,ANA,6,PHX,PHX
219,2007020220,1,S.J,3,DAL,DAL
220,2007020221,1,BOS,2,MTL,MTL
221,2007020222,4,N.J,1,PHI,N.J
222,2007020223,4,NYR,2,PIT,NYR
223,2007020224,1,CAR,5,T.B,T.B
224,2007020225,1,OTT,4,WSH,WSH
225,2007020226,2,CGY,3,VAN,VAN
226,2007020227,5,PHX,2,DAL,PHX
227,2007020228,0,BUF,3,TOR,TOR
228,2007020229,1,FLA,4,ATL,ATL
229,2007020230,4,DET,1,CBJ,DET
230,2007020231,4,CHI,2,STL,CHI
231,2007020232,2,VAN,1,COL,VAN
232,2007020233,3,ANA,2,S.J,ANA
233,2007020234,3,OTT,1,MTL,OTT
234,2007020235,2,BOS,1,BUF,BOS
235,2007020236,2,TOR,3,NYR,NYR
236,2007020237,2,NYI,1,N.J,NYI
237,2007020238,5,PHI,2,PIT,PHI
238,2007020239,2,WSH,5,T.B,T.B
239,2007020240,3,ATL,5,CAR,CAR
240,2007020241,4,NSH,3,CBJ,NSH
241,2007020242,2,CGY,4,EDM,EDM
242,2007020243,6,L.A,5,DAL,L.A
243,2007020244,4,S.J,1,PHX,S.J
244,2007020245,3,CHI,2,DET,CHI
245,2007020246,4,COL,2,MIN,COL
246,2007020247,3,PHI,2,NYI,PHI
247,2007020248,1,CBJ,4,NSH,NSH
248,2007020249,2,PIT,3,N.J,N.J
249,2007020250,3,FLA,4,CAR,CAR
250,2007020251,5,S.J,0,PHX,S.J
251,2007020252,3,ATL,2,FLA,ATL
252,2007020253,4,STL,3,DET,STL
253,2007020254,3,TOR,4,MTL,MTL
254,2007020255,3,CGY,2,MIN,CGY
255,2007020256,4,ANA,3,L.A,ANA
256,2007020257,2,N.J,4,NYR,NYR
257,2007020258,4,CBJ,2,CHI,CBJ
258,2007020259,6,T.B,1,CAR,T.B
259,2007020260,3,DAL,4,S.J,S.J
260,2007020261,0,VAN,1,EDM,EDM
261,2007020262,5,BOS,2,TOR,BOS
262,2007020263,3,PHI,4,NYR,NYR
263,2007020264,3,OTT,2,BUF,OTT
264,2007020265,3,PIT,2,NYI,PIT
265,2007020266,2,FLA,1,WSH,FLA
266,2007020267,5,NSH,4,CHI,NSH
267,2007020268,2,EDM,4,MIN,MIN
268,2007020269,0,PHX,6,S.J,S.J
269,2007020270,3,L.A,6,ANA,ANA
270,2007020271,0,N.J,1,NYI,NYI
271,2007020272,0,CAR,3,ATL,ATL
272,2007020273,4,BUF,1,MTL,BUF
273,2007020274,5,T.B,2,WSH,T.B
274,2007020275,3,STL,2,CBJ,STL
275,2007020276,6,DAL,1,COL,DAL
276,2007020277,6,VAN,2,MIN,VAN
277,2007020278,0,L.A,1,PHX,PHX
278,2007020279,3,TOR,0,OTT,TOR
279,2007020280,7,MTL,4,BOS,MTL
280,2007020281,2,PHI,6,N.J,N.J
281,2007020282,2,CAR,1,FLA,CAR
282,2007020283,3,DET,5,CHI,CHI
283,2007020284,3,PIT,4,NYR,NYR
284,2007020285,2,NSH,3,STL,STL
285,2007020286,1,EDM,3,CGY,CGY
286,2007020287,1,S.J,2,ANA,ANA
287,2007020288,4,CBJ,5,DET,DET
288,2007020289,4,MIN,1,COL,MIN
289,2007020290,4,VAN,1,CGY,VAN
290,2007020291,1,NYR,2,NYI,NYI
291,2007020292,3,WSH,4,FLA,FLA
292,2007020293,4,ATL,3,T.B,ATL
293,2007020294,2,MTL,4,OTT,OTT
294,2007020295,2,STL,1,NSH,STL
295,2007020296,3,DAL,0,L.A,DAL
296,2007020297,2,TOR,4,BOS,BOS
297,2007020298,4,CGY,1,COL,CGY
298,2007020299,5,EDM,4,VAN,EDM
299,2007020300,4,BUF,2,OTT,BUF
300,2007020301,1,NYI,4,MTL,MTL
301,2007020302,1,WSH,5,ATL,ATL
302,2007020303,3,CAR,6,PHI,PHI
303,2007020304,2,CBJ,5,FLA,FLA
304,2007020305,1,PIT,2,N.J,N.J
305,2007020306,1,T.B,2,NYR,NYR
306,2007020307,3,DET,0,STL,DET
307,2007020308,2,MIN,4,VAN,VAN
308,2007020309,2,DAL,1,ANA,DAL
309,2007020310,4,PHX,1,L.A,PHX
310,2007020311,5,OTT,6,PIT,PIT
311,2007020312,3,NSH,2,DET,NSH
312,2007020313,1,CGY,2,CHI,CHI
313,2007020314,2,EDM,3,COL,COL
314,2007020315,2,BOS,1,NYI,BOS
315,2007020316,3,PHI,4,WSH,WSH
316,2007020317,0,MIN,4,CBJ,CBJ
317,2007020318,3,ANA,4,PHX,PHX
318,2007020319,4,CAR,3,T.B,CAR
319,2007020320,4,BUF,2,MTL,BUF
320,2007020321,0,ATL,3,N.J,N.J
321,2007020322,3,FLA,2,NYR,FLA
322,2007020323,3,STL,1,VAN,STL
323,2007020324,3,DAL,1,TOR,DAL
324,2007020325,0,MTL,3,BUF,BUF
325,2007020326,3,OTT,4,PHI,PHI
326,2007020327,2,NYI,1,BOS,NYI
327,2007020328,5,WSH,2,CAR,WSH
328,2007020329,3,CBJ,2,DET,CBJ
329,2007020330,5,PHX,1,TOR,PHX
330,2007020331,5,PIT,0,ATL,PIT
331,2007020332,2,T.B,3,N.J,N.J
332,2007020333,3,NSH,4,MIN,MIN
333,2007020334,2,COL,5,CGY,CGY
334,2007020335,3,EDM,2,CHI,EDM
335,2007020336,1,S.J,2,L.A,L.A
336,2007020337,2,NYR,3,DAL,DAL
337,2007020338,3,STL,0,CGY,STL
338,2007020339,3,ANA,2,L.A,ANA
339,2007020340,2,VAN,0,CHI,VAN
340,2007020341,2,NYI,3,DAL,DAL
341,2007020342,3,PHI,6,BOS,BOS
342,2007020343,1,WSH,3,BUF,BUF
343,2007020344,3,EDM,1,CBJ,EDM
344,2007020345,5,DET,3,CGY,DET
345,2007020346,3,TOR,4,MTL,MTL
346,2007020347,4,VAN,0,ANA,VAN
347,2007020348,3,BUF,4,STL,STL
348,2007020349,4,N.J,2,DAL,N.J
349,2007020350,3,NYI,2,OTT,NYI
350,2007020351,1,WSH,2,FLA,FLA
351,2007020352,1,CAR,3,PHI,PHI
352,2007020353,3,MIN,1,PHX,MIN
353,2007020354,5,CHI,1,T.B,CHI
354,2007020355,4,COL,2,EDM,COL
355,2007020356,2,S.J,3,L.A,L.A
356,2007020357,4,NYR,2,NYI,NYR
357,2007020358,2,ATL,4,TOR,TOR
358,2007020359,5,OTT,6,NSH,NSH
359,2007020360,3,FLA,4,BOS,BOS
360,2007020361,4,DET,2,T.B,DET
361,2007020362,1,CGY,4,ANA,ANA
362,2007020363,2,VAN,0,CBJ,VAN
